"","ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM","moneyness","logmoneyness","TimeToExp"
"50","SPY231206C00469000","REGULAR","USD",2023-12-06,469,0.01,0,0,0,0.01,161,302,2023-12-06 12:10:16,0.2148516015625,FALSE,0.972366737739872,-0.0280222434807603,0
"51","SPY231206C00470000","REGULAR","USD",2023-12-06,470,0.01,0,0,0,0.01,19,1409,2023-12-06 10:33:04,0.226570234375,FALSE,0.970297872340426,-0.0301521697385852,0
"52","SPY231206C00471000","REGULAR","USD",2023-12-06,471,0.01,0,0,0,0.01,5,527,2023-12-06 10:00:10,0.242195078125,FALSE,0.968237791932059,-0.0322775690508987,0
"53","SPY231206C00472000","REGULAR","USD",2023-12-06,472,0.01,0,0,0,0.01,197,207,2023-12-04 16:00:02,0.257819921875,FALSE,0.966186440677966,-0.0343984606200363,0
"54","SPY231206C00473000","REGULAR","USD",2023-12-06,473,0.01,0,0,0,0.01,3482,3638,2023-12-04 16:08:15,0.2695385546875,FALSE,0.964143763213531,-0.0365148635264139,0
"55","SPY231206C00474000","REGULAR","USD",2023-12-06,474,0.02,0,0,0,0.01,7,115,2023-12-01 15:11:38,0.2812571875,FALSE,0.96210970464135,-0.0386267967295574,0
"56","SPY231206C00475000","REGULAR","USD",2023-12-06,475,0.01,0,0,0,0.01,5,89,2023-12-05 11:30:20,0.29688203125,FALSE,0.960084210526316,-0.0407342790691221,0
"57","SPY231206C00476000","REGULAR","USD",2023-12-06,476,0.01,0,0,0,0.01,6,56,2023-12-06 12:52:10,0.312506875,FALSE,0.958067226890756,-0.042837329265901,0
"58","SPY231206C00477000","REGULAR","USD",2023-12-06,477,0.01,0,0,0,0.01,1,263,2023-12-06 11:34:13,0.3242255078125,FALSE,0.956058700209644,-0.0449359659228221,0
"59","SPY231206C00478000","REGULAR","USD",2023-12-06,478,0.01,0,0,0,0.01,2,303,2023-12-06 13:01:27,0.335944140625,FALSE,0.954058577405858,-0.0470302075259369,0
"60","SPY231206C00479000","REGULAR","USD",2023-12-06,479,0.01,0,0,0,0.01,1,10,2023-12-05 14:36:26,0.351568984375,FALSE,0.952066805845512,-0.0491200724453962,0
"61","SPY231206C00480000","REGULAR","USD",2023-12-06,480,0.01,0,0,0,0.01,202,1743,2023-12-04 10:48:31,0.367193828125,FALSE,0.950083333333333,-0.0512055789364175,0
"62","SPY231206C00481000","REGULAR","USD",2023-12-06,481,0.01,0,0,0,0.01,64,83,2023-12-04 11:58:10,0.37500625,FALSE,0.948108108108108,-0.0532867451402421,0
"63","SPY231206C00484000","REGULAR","USD",2023-12-06,484,0.01,0,0,0,0.01,NA,254,2023-11-29 15:50:20,0.414068359375,FALSE,0.942231404958678,-0.0595043817511126,0
"64","SPY231206C00485000","REGULAR","USD",2023-12-06,485,0.01,0,0,0,0.01,NA,2,2023-11-29 13:27:59,0.429693203125,FALSE,0.940288659793814,-0.0615683659719641,0
"65","SPY231206C00487000","REGULAR","USD",2023-12-06,487,0.02,0,0,0,0.01,8,8,2023-11-24 12:08:04,0.45313046875,FALSE,0.936427104722793,-0.0656835981170707,0
"66","SPY231206C00489000","REGULAR","USD",2023-12-06,489,0.01,0,0,0,0.01,NA,100,2023-11-28 13:58:59,0.48438015625,FALSE,0.932597137014315,-0.0697819645093529,0
"67","SPY231206C00495000","REGULAR","USD",2023-12-06,495,0.01,0,0,0,0.01,NA,15,2023-11-29 09:30:07,0.51562984375,FALSE,0.921292929292929,-0.0819772376031712,0
"68","SPY231206C00500000","REGULAR","USD",2023-12-06,500,0.02,0,0,0,0.01,NA,15,2023-11-22 10:00:06,0.57812921875,FALSE,0.91208,-0.0920275734566727,0
"69","SPY231207C00387000","REGULAR","USD",2023-12-07,387,68.66,0,0,69.06,69.92,NA,1,2023-11-29 16:09:53,1.19922275390625,TRUE,1.17839793281654,0.164155831935737,0.0027378507871321
"70","SPY231207C00405000","REGULAR","USD",2023-12-07,405,50.5,0,0,51.16,51.78,6,13,2023-12-04 11:41:51,0.90820404296875,TRUE,1.12602469135802,0.11869345785898,0.0027378507871321
"71","SPY231207C00420000","REGULAR","USD",2023-12-07,420,36.35,0,0,36.22,36.79,3,5,2023-12-05 13:53:12,0.6835969140625,TRUE,1.08580952380952,0.082325813688105,0.0027378507871321
